date,gdp,inv,cons,lab,unemp,lab_share,ffr,infl,lab_prod,tfp,lpcom,ff4,onrun10,ir_1,ir_2,ir_3,rr_1,rr_2,rr_3,rr_4,gk_var_1,gk_var_2,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,mar_raw,mar_svariv,ad
1962.5,981.0000709,1299.635334,1375.739086,1750.243091,5.5667,469.7348193,0.711675,0.207,363.7822974,13.0125,4.547540759,,,,,,,,,,,,,,,,,,,,,,,,,
1962.75,980.9835996,1298.371446,1376.491849,1749.142923,5.5333,469.8924611,0.730825,0.195,364.6258968,14.245,4.551732162,,,,,,,,,,,,,,,,,,,,,,,,,
1963,981.7602813,1301.218595,1376.499296,1749.548276,5.7667,470.0198508,0.741675,0.439,364.9566737,14.055,4.552035941,,,,,,,,,,,,,,,,,,,,,,,,,
1963.25,982.7362162,1303.010861,1376.700033,1750.051696,5.7333,469.48372,0.740825,0.166,365.9656595,14.2775,4.563052194,,,,,,,,,,,,,,,,,,,,,,,,,
1963.5,984.2834805,1304.963805,1378.052556,1749.930168,5.5,468.4304789,0.8325,0.122,368.0721266,15.52,4.553616431,,,,,,,,,,,,,,,,,,,,,,,,,
1963.75,984.6123235,1306.099104,1377.990773,1749.917123,5.5667,468.9649193,0.863325,0.81,368.0696061,15.4675,4.580013882,,,,,,,,,,,,,,,,,,,,,,,,,
1964,986.4382833,1308.725068,1379.424576,1751.450485,5.4667,467.7221044,0.865825,0.318,368.9604191,17.035,4.572214841,,,,,,,,,,,,,,,,,,,,,,,,,
1964.25,987.307989,1308.794769,1380.881942,1752.115052,5.2,467.8420648,0.8725,0.24,369.6376283,16.3425,4.580588285,,,,,,,,,,,,,,,,,,,,,,,,,
1964.5,988.2927639,1310.977163,1382.256581,1751.855282,5,467.8959536,0.864175,0.403,370.3891212,17.0875,4.603425581,,,,,,,,,,,,,,,,,,,,,,,,,
1964.75,988.2927639,1310.180346,1382.644931,1752.015413,4.9667,469.2044887,0.894175,0.456,369.4911226,16.885,4.651665565,,,,,,,,,,,,,,,,,,,,,,,,,
1965,990.4537002,1318.544822,1383.243336,1753.239439,4.9,467.8011642,0.993325,0.502,370.9637507,16.7875,4.650966216,,,,,,,,,,,,,,,,,,,,,,,,,
1965.25,991.5416123,1318.117553,1384.527905,1753.701958,4.6667,467.7388517,1.019175,0.446,371.5570069,17.1625,4.673376563,,,,,,,,,,,,,,,,,,,,,,,,,
1965.5,993.2172186,1320.55362,1385.612376,1753.282972,4.3667,466.5983025,1.018325,0.396,373.3350782,19.1275,4.668639123,,,,,,,,,,,,,,,,,,,,,,,,,
1965.75,995.2230097,1321.798951,1387.618167,1754.13763,4.1,465.9137402,1.041675,0.676,375.1384659,19.84,4.692748063,,,,,,,,,,,,,,,,,,,,,,,,,
1966,997.4132392,1327.734937,1388.415339,1754.313346,3.8667,465.9440545,1.139175,0.645,376.5261624,20.66,4.748404867,,,,,,,,,,,,,,,,,,,,,,,,,
1966.25,997.562215,1324.898616,1389.561333,1754.638139,3.8333,467.0854925,1.228325,0.819,375.917481,20.1875,4.734535451,,,,,,,,,,,,,,,,,,,,,,,,,
1966.5,997.9661247,1324.542066,1389.766632,1754.479532,3.7667,467.6038631,1.3525,0.968,376.0711624,20.3175,4.723435673,,,,,,,,,,,,,,,,,,,,,,,,,
1966.75,998.5113621,1325.087303,1389.913463,1754.386981,3.7,467.1145175,1.390825,0.845,376.7528884,21.28,4.657073927,,,,,,,,,,,,,,,,,,,,,,,,,
1967,999.1818891,1322.262329,1390.783392,1753.252608,3.8333,467.1332388,1.205825,0.415,377.5905414,23.235,4.640274148,,,,,,,,,,,,,,,,,,,,,,,,,
1967.25,999.0215556,1320.909138,1391.218889,1753.521771,3.8333,467.7844273,0.9975,0.505,378.002187,24.37,4.612234287,,,,,,,,,,,,,,,,,,,,,,,,,
1967.5,999.6021154,1321.8889,1391.601233,1753.838749,3.8,467.8680837,0.973325,0.952,378.4098721,23.9075,4.591194016,,,,,,,,,,,,,,,,,,,,,,,,,
1967.75,1000.120393,1323.200832,1391.721895,1754.383458,3.9,467.9136005,1.043325,1.092,378.7660875,24.8425,4.578019347,,,,,,,,,,,,,,,,,,,,,,,,,
1968,1001.922405,1326.18164,1393.124706,1753.700717,3.7333,467.3239965,1.196675,1.105,380.9724464,26.3075,4.590424168,,,,,,,,,,,,,,,,,,,,,,,,,
1968.25,1003.368213,1328.79251,1394.370314,1754.732479,3.5667,466.899908,1.495,1.049,381.9271549,26.9475,4.57419849,,,,,,,,,,,,,,,,,,,,,,,,,
1968.5,1003.814956,1327.682801,1395.615463,1754.382825,3.5333,467.9117431,1.485825,0.98,381.8942338,26.725,4.562218564,,,,,,,,,,,,,,,,,,,,,,,,,
1968.75,1003.989605,1328.638704,1395.790113,1754.474424,3.4,468.6796255,1.479175,1.405,381.7206704,26.21,4.598161279,,,,,,,,,,,,,,,,,,,,,,,,,
1969,1005.324287,1332.281181,1396.526588,1754.950533,3.4,468.0787732,1.641675,1.033,382.4851616,26.01,4.651519239,,,,,,-0.24526549,-0.246049,-0.2274091,-0.184388582,,,,,,,,,,,,,,,,
1969.25,1005.414643,1331.224297,1397.215151,1755.255848,3.4333,469.365714,2.081675,1.269,381.6766824,25.325,4.697053859,,,,,,0.58851657,0.5906745,0.6749188,0.534632007,,,,,,,,,,,,,,,,
1969.5,1005.758109,1331.567763,1397.359611,1755.205805,3.5667,470.0962068,2.245825,1.396,381.7382601,25.1375,4.725658449,,,,,,0.51913821,0.519298,0.4843627,0.521231729,,,,,,,,,,,,,,,,
1969.75,1005.026828,1327.711228,1398.209392,1755.194452,3.5667,471.4221881,2.235,1.281,381.3174573,25.0025,4.737448925,,,,,,0.14714671,0.1479118,0.1658559,0.153874488,,,,,,,,,,,,,,,,
1970,1004.602824,1324.470136,1398.761005,1754.644178,4.1667,471.8802397,2.143325,1.399,381.5798408,26.06,4.758229955,,,,,,-0.65963701,-0.6605632,-0.5745371,-0.578449691,,,,,,,,,,,,,,,,
1970.25,1004.468325,1324.335637,1398.820492,1753.088329,4.7667,470.4816406,1.97,1.384,383.0943093,27.835,4.745066006,,,,,,-0.02406602,-0.0259126,-0.0259718,0.013839502,,,,,,,,,,,,,,,,
1970.5,1005.013875,1324.881187,1399.559653,1752.349654,5.1667,470.0780321,1.675825,0.816,384.6182303,29.2075,4.724161177,,,,,,-0.99756538,-1.001679,-0.9256776,-0.958174688,,,,,,,,,,,,,,,,
1970.75,1003.631245,1318.476581,1399.902857,1752.081733,5.8333,470.494312,1.391675,1.311,383.7579592,29.125,4.69235525,,,,,,-0.58402335,-0.5805882,-0.5999238,-0.678920747,,,,,,,,,,,,,,,,
1971,1005.967901,1329.04834,1399.34635,1751.750668,5.9333,468.6243132,0.964175,1.516,386.6230344,30.3525,4.689267731,,,,,,-0.77179544,-0.772168,-0.8935021,-0.754885584,,,,,,,,,,,,,,,,
1971.25,1006.249783,1330.898883,1399.823737,1751.669251,5.9,468.5477474,1.140825,1.309,386.9595556,30.4075,4.690258994,,,,,,0.8060988,0.8077134,0.877007,0.719257152,,,,,,,,,,,,,,,,
1971.5,1006.71783,1332.142126,1400.096279,1752.322203,6.0333,468.1028768,1.368325,1.01,387.8466222,32.5425,4.682247829,,,,,,-0.11703265,-0.1163608,-0.1003367,-0.086453995,,,,,,,,,,,,,,,,
1971.75,1006.705094,1330.964329,1401.057261,1753.407431,5.9333,469.2081558,1.1875,0.827,387.0492427,31.1875,4.667104888,,,,,,-1.583165,-1.581268,-1.527481,-1.702562742,,,,,,,,,,,,,,,,
1972,1008.24284,1335.199734,1401.425403,1754.587497,5.7667,469.2319887,0.885,1.536,388.4446238,31.475,4.7215107,,,,,,-0.06818728,-0.0683501,-0.1236863,-0.295661016,,,,,,,,,,,,,,,,
1972.25,1010.295298,1339.507926,1402.887889,1754.996528,5.7,467.983229,1.075,0.61,390.4655935,32.16,4.771111104,,,,,,-0.26899001,-0.2684411,-0.3411304,-0.344253081,,,,,,,,,,,,,,,,
1972.5,1010.952564,1340.905936,1404.135127,1755.190558,5.5667,468.1455073,1.185,0.935,391.0061082,32.8175,4.797092112,,,,,,0,-0.1365761,-0.111762,0,,,,,,,,,,,,,,,,
1972.75,1012.334571,1343.023242,1405.320864,1755.812615,5.3667,468.564357,1.285825,1.262,391.8263493,33.6525,4.845123681,,,,,,0.00926985,-0.0500024,-0.05911,0.001393559,,,,,,,,,,,,,,,,
1973,1014.553136,1347.415805,1406.552254,1756.73622,4.9333,468.3593121,1.634175,1.156,394.0377199,34.6825,4.957860703,,,,,,0.56926885,0.5687581,0.5286473,0.497353027,,,,,,,,,,,,,,,,
1973.25,1015.455751,1349.387948,1406.857851,1757.375505,4.9333,468.5514387,1.954175,1.512,394.1309926,34.1,5.085078039,,,,,,0.66346977,0.6627217,0.5815276,0.677691584,,,,,,,,,,,,,,,,
1973.5,1014.662979,1346.08158,1407.452614,1757.468671,4.8,469.9616356,2.64,1.89,393.1570698,33.0375,5.271682301,,,,,,-0.1379882,-0.1358653,-0.2387917,-0.020128272,,,,,,,,,,,,,,,,
1973.75,1015.346776,1347.490017,1407.544109,1757.977697,4.7667,470.2659807,2.499175,1.969,392.5077425,33.3425,5.278433304,,,,,,-1.1080757,-1.106653,-1.189948,-1.132525739,,,,,,,,,,,,,,,,
1974,1014.309483,1342.023956,1408.2733,1757.564551,5.1333,470.5087917,2.330825,1.884,392.3042072,32.545,5.420292819,,,,,,0.7276556,0.7302715,0.7318664,0.521694631,,,,,,,,,,,,,,,,
1974.25,1014.356688,1342.44781,1408.708855,1757.225805,5.2,469.7557918,2.8125,2.35,392.0407755,33.2275,5.418767753,,,,,,1.0582328,1.056691,0.9913459,1.143914927,,,,,,,,,,,,,,,,
1974.5,1013.130019,1338.939672,1408.638268,1756.78721,5.6333,470.6986428,3.0225,2.858,390.9740402,31.7875,5.464275518,,,,,,-0.54251636,-0.540933,-0.6221972,-0.718589721,,,,,,,,,,,,,,,,
1974.75,1012.470926,1336.338771,1407.595298,1754.796835,6.6,469.5431277,2.336675,2.902,391.8561582,33.0775,5.411663234,,,,,,-0.17601167,-0.176415,-0.3070521,-0.439098362,,,,,,,,,,,,,,,,
1975,1011.054237,1325.469465,1407.894571,1752.662759,8.2667,468.531135,1.575825,2.241,392.6458313,35.5,5.307538,,,,,,-0.60945371,-0.6107861,-0.6043138,-0.682713853,,,,,,,,,,,,,,,,
1975.25,1011.58128,1325.130701,1408.798972,1752.55006,8.8667,467.4901451,1.355,1.486,394.301767,36.79,5.269107679,,,,,,-0.33116529,-0.3328659,-0.2432384,-0.17144422,,,,,,,,,,,,,,,,
