date,gdp,unemp,ygap_hp,ffr,infl,inv,cons,lab,lab_share,lab_prod,tfp,lpcom,ff4,onrun10,ir_1,ir_2,ir_3,rr_1,rr_2,rr_3,rr_4,gk_var_1,gk_var_2,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,mar_raw,mar_svariv,ad
1975.25,1011.58128,8.8667,-3.846306282,5.42,5.944,1325.130701,1408.798972,1752.55006,467.4901451,394.301767,36.79,5.269107679,,,,,,-0.33116529,-0.3328659,-0.2432384,-0.17144422,,,,,,,,,,,,,,,,
1975.5,1012.922773,8.4667,-2.894481665,6.16,7.06,1331.143957,1409.384319,1753.460484,466.5512415,395.4277573,36.2225,5.310388145,,,,,,-0.1802546,-0.1783914,-0.192966,-0.419263727,,,,,,,,,,,,,,,,
1975.75,1014.006052,8.3,-2.326110354,5.4133,6.612,1333.053687,1409.896712,1754.177333,466.6585084,395.523574,35.1825,5.268699153,,,,,,-0.20080652,-0.2030073,-0.2928912,-0.494468336,,,,,,,,,,,,,,,,
1976,1016.022061,7.7333,-0.89364038,4.8267,4.136,1340.67116,1411.146433,1755.81567,465.9421601,396.9857857,35.2575,5.263740661,,,,,,-0.79870315,-0.7982562,-0.8150342,-0.712422514,,,,,,,,,,,,,,,,
1976.25,1016.562102,7.5667,-0.973201852,5.1967,4.044,1343.518996,1411.686474,1755.579761,465.7458985,397.9419937,36.1025,5.318938167,,,,,,-0.19628434,-0.1973201,-0.1452676,-0.11158241,,,,,,,,,,,,,,,,
1976.5,1016.811848,7.7333,-1.252172589,5.2833,5.124,1344.148249,1412.702507,1755.785157,466.2438594,398.1231854,35.9275,5.340416256,,,,,,-0.16406607,-0.1626259,-0.205499,-0.189973122,,,,,,,,,,,,,,,,
1976.75,1017.29802,7.7667,-1.367549523,4.8733,7.028,1345.012493,1413.569632,1756.035924,466.2193035,398.4473891,36.8825,5.288747288,,,,,,-0.1420563,-0.1394514,-0.2118412,-0.330644341,,,,,,,,,,,,,,,,
1977,1018.221717,7.5,-1.037031253,4.66,6.384,1348.910387,1414.303034,1756.76464,466.0529204,399.0501413,37.4675,5.360515916,,,,,,-0.40944483,-0.4087758,-0.4797344,-0.428815774,,,,,,,,,,,,,,,,
1977.25,1019.92494,7.1333,0.043765316,5.1567,5.572,1353.501897,1414.856819,1757.974118,466.0396735,399.4782021,37.0675,5.374904789,,,,,,-0.24522328,-0.2469198,-0.3274969,-0.269588213,,,,,,,,,,,,,,,,
1977.5,1021.398242,6.9,0.993247792,5.82,4.896,1356.738914,1415.75041,1758.245381,465.6727945,400.467511,38.57,5.308556655,,,,,,-0.13594057,-0.134786,-0.2129834,-0.17920743,,,,,,,,,,,,,,,,
1977.75,1021.122957,6.6667,0.168978006,6.5133,8.596,1357.160496,1416.054836,1759.320689,466.9327384,399.1757973,37.535,5.334003193,,,,,,-0.19597303,-0.1965102,-0.2208928,-0.285830704,,,,,,,,,,,,,,,,
1978,1021.236834,6.3333,-0.320650916,6.7567,5.916,1356.926546,1417.318151,1759.071977,468.6399881,399.2404117,38.19,5.400597438,,,,,,-0.05723155,-0.0573382,-0.1508405,-0.248332353,,,,,,,,,,,,,,,,
1978.25,1024.796339,6,2.686394207,7.2833,7.252,1362.895806,1418.565414,1761.41792,466.2967285,401.1832141,38.2475,5.43189539,,,,,,-0.04148069,-0.0431148,-0.1444739,-0.134151028,,,,,,,,,,,,,,,,
1978.5,1025.477803,6.0333,2.932295183,8.1,6.636,1363.916829,1419.246878,1761.274518,466.0718415,401.186834,38.18,5.463812961,,,,,,-0.36178727,-0.3622698,-0.4080551,-0.248805524,,,,,,,,,,,,,,,,
1978.75,1026.517491,5.9,3.546948682,9.5833,8.32,1365.968331,1419.503784,1761.796265,465.79334,401.8147229,37.98,5.526763713,,,,,,0.25913838,0.2603568,0.2322706,0.215316919,,,,,,,,,,,,,,,,
1979,1026.461756,5.8667,3.042507923,10.0733,7.088,1365.239192,1420.035709,1762.02258,467.9312443,400.9186013,38.0225,5.586349922,,,,,,-0.01890217,-0.0172532,-0.0999674,-0.133071205,,,,,,,,,,,,,,,,
